Loan_Id,Bank_Name,Loan_Type,Interest_Rate,Age,Gender,Annual_Income,Monthly_Emi,Years_of_Credit_History,Credit_Score,Loan_Amount,Tenure,Margin,Processing_Fee,Rating
1,SBI,Home,6.7,34,1,2074116,42001,21.8,818,4362000,30,90,10000,4.1
2,SBI,Automobile,7.35,35,1,1919190,36624,19.4,804,531000,7,90,0,4.1
3,SBI,Automobile,7.35,39,0,871112,8392,12.5,778,296600,7,90,0,4.1
4,SBI,Home,6.8,56,1,780083,16772,16.5,797,3036000,30,90,10000,4.1
5,SBI,Home,6.7,36,0,1761148,39479,26,815,3478000,30,90,10000,4.1
6,SBI,Education,8.15,40,0,760380,6527,13.8,812,3115000,15,90,10000,4.1
7,SBI,Automobile,7.35,33,0,1783606,36564,15.3,803,439300,7,90,0,4.1
8,SBI,Automobile,7.35,31,1,1068617,18745,20.5,806,311500,7,90,0,4.1
9,SBI,Home,6.9,35,0,2031518,12443,24.4,750,3310000,30,90,10000,4.1
10,SBI,Education,8.15,55,0,1284514,6369,14.6,793,3286000,15,90,10000,4.1
11,SBI,Education,8.15,46,0,504374,6095,9.5,747,2990000,15,90,10000,4.1
12,SBI,Automobile,7.35,53,1,669560,17967,18.2,764,302400,7,90,0,4.1
13,SBI,Automobile,7.35,44,1,1236976,21647,35.8,799,333800,7,90,0,4.1
14,SBI,Automobile,7.35,42,1,1077262,19391,24.5,813,316400,7,90,0,4.1
15,SBI,Education,8.15,53,0,442339,14007,17,784,3295000,15,90,10000,4.1
16,SBI,Home,6.8,35,0,694526,4358,17.3,784,3496000,30,90,10000,4.1
17,SBI,Automobile,7.35,59,0,2245116,24135,17.6,815,455400,7,90,0,4.1
18,SBI,Home,6.7,44,0,1394676,5834,31.9,818,4289000,30,90,10000,4.1
19,SBI,Education,8.15,50,0,682898,18894,15.5,791,3167000,15,90,10000,4.1
20,SBI,Automobile,7.35,34,0,963300,16537,16.4,811,351800,7,90,0,4.1
21,SBI,Automobile,7.35,52,0,683582,9057,9.6,806,316700,7,90,0,4.1
22,SBI,Automobile,7.35,51,0,990185,6032,17.5,777,317600,7,90,0,4.1
23,SBI,Automobile,7.35,44,0,747156,20235,19.9,773,282900,7,90,0,4.1
24,SBI,Home,6.7,49,0,2138906,27984,15.5,811,3597000,30,90,10000,4.1
25,SBI,Education,8.15,43,0,979716,12900,27.3,808,3844000,15,90,10000,4.1
26,SBI,Home,6.8,40,1,1146004,14802,21,786,3527000,30,90,10000,4.1
27,SBI,Education,8.15,33,0,5951484,61499,22.4,774,4832000,15,90,10000,4.1
28,SBI,Automobile,7.6,35,1,1833842,5899,14.4,712,392600,7,90,0,4.1
29,SBI,Automobile,7.35,34,0,1301671,22237,15.6,781,316700,7,90,0,4.1
30,SBI,Home,6.8,37,0,1306592,8079,14,774,4249000,30,90,10000,4.1
31,SBI,Automobile,7.35,25,0,1539912,27500,22,772,372200,7,90,0,4.1
32,SBI,Education,8.15,49,0,648508,5945,17.5,806,3283000,15,90,10000,4.1
33,SBI,Home,6.7,45,0,855342,9195,22.8,803,3298000,30,90,10000,4.1
34,SBI,Automobile,7.35,41,0,1164225,14747,10.5,774,376200,7,90,0,4.1
35,SBI,Automobile,7.6,57,0,2504504,14818,31.9,711,449300,7,90,0,4.1
36,SBI,Education,8.15,40,0,1790807,24027,17.3,749,4143000,15,90,10000,4.1
37,SBI,Home,6.8,34,0,683183,16453,15,786,3463000,30,90,10000,4.1
38,SBI,Automobile,7.35,45,1,1042511,22240,14,782,394200,7,90,0,4.1
39,SBI,Automobile,7.35,56,0,1195898,11760,17.6,785,317900,7,90,0,4.1
40,SBI,Education,8.65,45,1,1796165,36821,33.1,714,4835000,15,90,10000,4.1
41,SBI,Automobile,7.6,38,0,1017279,14496,8.5,755,393500,7,90,0,4.1
42,SBI,Automobile,7.35,48,0,2647308,45666,16.8,818,421600,7,90,0,4.1
43,SBI,Automobile,7.35,29,1,2088328,22275,21.7,770,316700,7,90,0,4.1
44,SBI,Education,8.15,42,0,4872778,30130,21.9,741,3426000,15,90,10000,4.1
45,SBI,Education,8.65,41,1,806170,15136,15.9,813,2820000,15,90,10000,4.1
46,SBI,Home,6.7,51,1,1403492,30526,26.7,803,3271000,30,90,10000,4.1
47,SBI,Home,6.8,44,0,1137492,3564,12.5,781,3018000,30,90,10000,4.1
48,SBI,Education,8.65,30,1,2205425,38448,33.5,817,2908000,15,90,10000,4.1
49,SBI,Home,6.8,41,0,956365,26619,8,788,3847000,30,90,10000,4.1
50,SBI,Home,6.7,37,1,2429815,14781,31,811,2932000,30,90,10000,4.1
51,SBI,Education,8.15,58,0,926345,13895,19.6,776,3512000,15,90,10000,4.1
52,SBI,Automobile,7.35,25,0,1164396,13391,15.7,796,321600,7,90,0,4.1
